Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Vegas Party,Wii,2009,Misc,Unknown,0.15,0.0,0.0,0.01,0.16,33.0,6.0,tbd,,Storm City Games,T
Jurassic Park: The Game,X360,2011,Action,Unknown,0.15,0.0,0.0,0.01,0.16,60.0,9.0,3.6,138.0,Telltale Games,T
Home Run,2600,1978,Sports,Atari,0.14,0.01,0.0,0.0,0.15,,,,,,
eJay Clubworld,PS2,2002,Misc,Empire Interactive,0.07,0.06,0.0,0.02,0.15,69.0,5.0,8.6,10.0,UDS,E
Our House Party!,Wii,2010,Simulation,Unknown,0.13,0.0,0.0,0.01,0.14,,,,,,
WCW Backstage Assault,N64,2000,Action,Unknown,0.11,0.03,0.0,0.0,0.14,,,,,,
Disney's Cinderella: Magical Dreams,GBA,2005,Platform,Disney Interactive Studios,0.1,0.04,0.0,0.0,0.14,69.0,7.0,tbd,,Culture Brain,E
Transworld Surf,XB,2001,Sports,Atari,0.1,0.03,0.0,0.0,0.13,76.0,25.0,tbd,,Rockstar San Diego,T
Street Fighter IV,PC,2009,Fighting,Capcom,0.07,0.05,0.0,0.02,0.13,91.0,23.0,8,352.0,Capcom,T
Nintendo Puzzle Collection,GC,2003,Puzzle,Unknown,0.0,0.0,0.13,0.0,0.13,,,,,,
Charm Girls Club: My Fashion Mall,DS,2009,Simulation,Unknown,0.12,0.0,0.0,0.01,0.12,,,tbd,,Electronic Arts,E
Record of Agarest War Zero,PS3,2011,Strategy,Ghostlight,0.09,0.0,0.03,0.01,0.12,50.0,8.0,6.7,37.0,Compile Heart,T
Rocksmith,PC,2011,Misc,Unknown,0.06,0.04,0.0,0.01,0.12,78.0,5.0,8.1,57.0,Ubisoft,T
Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,PSP,2012,Strategy,,0.0,0.0,0.12,0.0,0.12,,,,,,
Saru! Get You! Million Monkeys,PS2,2006,Platform,Unknown,0.0,0.0,0.12,0.0,0.12,,,,,,
Street Hoops,GC,2002,Sports,Unknown,0.09,0.02,0.0,0.0,0.12,56.0,9.0,7.3,7.0,Black Ops Entertainment,T
Godzilla: Destroy All Monsters Melee,XB,2003,Fighting,Unknown,0.09,0.03,0.0,0.0,0.12,71.0,20.0,6.8,8.0,"Pipeworks Software, Inc.",T
The Daring Game for Girls,DS,2009,Adventure,Unknown,0.11,0.0,0.0,0.01,0.12,,,tbd,,WXP,E
Major League Baseball 2K6,PSP,2006,Sports,Unknown,0.11,0.0,0.0,0.01,0.12,69.0,5.0,tbd,,Visual Concepts,E
Star Trek: Conquest,PS2,2007,Strategy,Bethesda Softworks,0.06,0.04,0.0,0.01,0.11,54.0,15.0,9.1,10.0,4J Studios,E
GiFTPiA,GC,2003,Role-Playing,Unknown,0.0,0.0,0.11,0.0,0.11,,,,,,
Happy Feet Two,PS3,2011,Action,Warner Bros. Interactive Entertainment,0.09,0.0,0.0,0.01,0.11,,,,,,
Disney's Chicken Little: Ace In Action,Wii,2006,Shooter,Disney Interactive Studios,0.09,0.0,0.0,0.01,0.1,72.0,8.0,tbd,,Avalanche Software,E10
Atsumare! Power Pro Kun no DS Koushien,DS,2008,Sports,,0.0,0.0,0.1,0.0,0.1,,,,,,
My Healthy Cooking Coach,DS,2009,Simulation,Unknown,0.09,0.0,0.0,0.01,0.1,,,tbd,,Ubisoft,E
Happy Feet Two,DS,2011,Action,Warner Bros. Interactive Entertainment,0.08,0.01,0.0,0.01,0.1,,,tbd,,WayForward,E
Luminous Arc 2 (JP sales),DS,2008,Role-Playing,Unknown,0.0,0.0,0.1,0.0,0.1,,,,,,
Happy Feet Two,X360,2011,Action,Warner Bros. Interactive Entertainment,0.08,0.01,0.0,0.01,0.1,,,,,,
Egg Monster Hero,DS,2005,Role-Playing,Square Enix,0.0,0.0,0.09,0.0,0.09,,,,,Neverland,E
The Daring Game for Girls,Wii,2009,Adventure,Unknown,0.09,0.0,0.0,0.01,0.09,,,tbd,,WXP,E
Demon Chaos,PS2,2005,Action,Konami Digital Entertainment,0.0,0.0,0.09,0.0,0.09,,,,,,
Samurai Shodown Anthology,PSP,2009,Fighting,Ignition Entertainment,0.08,0.0,0.0,0.01,0.09,,,tbd,,SNK Playmore,T
Action Man-Operation Extreme,PS,2000,Action,,0.05,0.03,0.0,0.01,0.09,,,,,,
Super Puzzle Fighter II,GBA,2003,Puzzle,Capcom,0.06,0.02,0.0,0.0,0.09,83.0,22.0,9.5,4.0,Atomic Planet Entertainment,E
Charm Girls Club: My Fashion Show,DS,2009,Simulation,Unknown,0.08,0.0,0.0,0.01,0.08,,,tbd,,Electronic Arts,E
Face Racers: Photo Finish,3DS,2011,Racing,Majesco Entertainment,0.08,0.0,0.0,0.01,0.08,,,tbd,,Renegade Kid,E
Zero: Tsukihami no Kamen,Wii,2008,Action,Nintendo,0.0,0.0,0.08,0.0,0.08,,,,,Grasshopper Manufacture,
The Hidden,3DS,2011,Adventure,Unknown,0.08,0.0,0.0,0.01,0.08,,,4.2,5.0,1st Playable Productions,E10
Get Fit with Mel B,X360,2011,Sports,Black Bean Games,0.0,0.06,0.0,0.01,0.08,57.0,7.0,,,Lightning Fish Games,E
Happy Feet Two,Wii,2011,Action,Warner Bros. Interactive Entertainment,0.06,0.01,0.0,0.01,0.08,,,,,,
Mega Man Battle Network: Operation Shooting Star,DS,2009,Role-Playing,Capcom,0.0,0.0,0.07,0.0,0.07,,,,,,
Smashing Drive,GC,2002,Racing,Unknown,0.06,0.01,0.0,0.0,0.07,47.0,18.0,5.2,6.0,Point of View,T
Port Royale 3,PS3,2012,Simulation,Kalypso Media,0.06,0.0,0.0,0.01,0.07,,,8.9,9.0,Kalypso,T
Dream Trigger 3D,3DS,2011,Shooter,D3Publisher,0.04,0.02,0.0,0.01,0.07,54.0,24.0,6.3,29.0,"Art Co., Ltd.",E
Dead Island: Riptide,PC,2013,Action,Deep Silver,0.0,0.07,0.0,0.01,0.07,61.0,35.0,6,441.0,Techland,M
Yoostar on MTV,X360,2012,Misc,Unknown,0.07,0.0,0.0,0.01,0.07,49.0,4.0,tbd,,Yoostar Entertainment Group,T
Tornado,DS,2008,Action,Ignition Entertainment,0.07,0.0,0.0,0.0,0.07,44.0,26.0,tbd,,Skonec,E
McFarlane's Evil Prophecy,PS2,2004,Action,Konami Digital Entertainment,0.03,0.03,0.0,0.01,0.07,34.0,28.0,3.2,5.0,Konami,M
Drake of the 99 Dragons,XB,2003,Shooter,Unknown,0.05,0.01,0.0,0.0,0.07,22.0,16.0,1.8,37.0,Idol FX,T
Build-A-Bear Workshop: Friendship Valley,Wii,2010,Misc,Unknown,0.06,0.0,0.0,0.0,0.07,,,tbd,,Neko Entertainment,E
Rayman Arena,XB,2002,Racing,Unknown,0.05,0.01,0.0,0.0,0.07,50.0,7.0,tbd,,Ubisoft,E
Port Royale 3,X360,2012,Simulation,Kalypso Media,0.06,0.0,0.0,0.01,0.07,56.0,11.0,4.5,6.0,Kalypso,T
National Geographic Challenge!,X360,2010,Misc,Unknown,0.06,0.0,0.0,0.0,0.07,,,,,,
Alex Rider: Stormbreaker,DS,2006,Action,THQ,0.06,0.0,0.0,0.0,0.07,48.0,11.0,6.1,10.0,Altron,T
Chou Soujuu Mecha MG,DS,2006,Simulation,,0.0,0.0,0.06,0.0,0.06,,,,,,
Prinny: Can I Really Be The Hero? (US sales),PSP,2009,Action,,0.06,0.0,0.0,0.0,0.06,,,,,,
Combat Elite: WWII Paratroopers,PS2,2005,Shooter,Unknown,0.03,0.02,0.0,0.01,0.06,54.0,12.0,tbd,,BattleBorne,T
Flip's Twisted World,Wii,2010,Platform,Unknown,0.05,0.0,0.0,0.0,0.06,47.0,7.0,tbd,,"Majesco Games, Majesco",E
Mobile Ops: The One Year War,X360,2008,Simulation,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06,,,,,"Dimps Corporation, Dream Execution",
Tom Clancy's Rainbow Six: Critical Hour,XB,2006,Shooter,Unknown,0.04,0.01,0.0,0.0,0.06,54.0,10.0,3.6,14.0,Ubisoft Quebec,M
Jewel Link Chronicles: Mountains of Madness,DS,2011,Puzzle,Avanquest,0.0,0.05,0.0,0.01,0.05,,,tbd,,Avanquest Software,E10
Captain America: Super Soldier,Wii,2011,Action,Sega,0.05,0.0,0.0,0.0,0.05,57.0,16.0,6,6.0,High Voltage Software,T
Mountain Bike Adrenaline,PS2,2007,Sports,Unknown,0.03,0.02,0.0,0.01,0.05,,,tbd,,Fresh 3D,E
Drill Dozer,GBA,2006,Platform,Unknown,0.04,0.01,0.0,0.0,0.05,81.0,34.0,8.3,10.0,Game Freak,E
