Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
MX vs. ATV Supercross Encore,XOne,2015.0,Sports,Nordic Games,0.02,0.0,0.0,0.0,0.03,45.0,4.0,tbd,,
AMNESIA World,PSV,2014.0,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03,,,,,CERO_B
DrumMania 7th Mix,PS2,2001.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,,,,,
Runabout 3: Neo Age,PS2,2002.0,Racing,BAM! Entertainment,0.0,0.0,0.03,0.0,0.03,,,,,
The Technomancer,XOne,2016.0,Role-Playing,Focus Home Interactive,0.01,0.01,0.0,0.0,0.03,68.0,12.0,7.4,55.0,Sixteen
Resident Evil 5 HD,PS4,2016.0,Action,Capcom,0.02,0.0,0.0,0.01,0.03,,,,,
Aegis of Earth: Protonovus Assault,PSV,2016.0,Action,PQube,0.01,0.01,0.0,0.01,0.03,,,8.3,8.0,
Teddy Together,3DS,2016.0,Simulation,Nintendo,0.0,0.02,0.0,0.0,0.03,,,tbd,,Three
Clannad: Mitsumi Mamoru Sakamichi de - Gekan,PSP,2010.0,Adventure,Prototype,0.0,0.0,0.03,0.0,0.03,,,,,
Guild Wars: Nightfall,PC,2006.0,Role-Playing,NCSoft,0.0,0.02,0.0,0.0,0.03,84.0,30.0,8.7,104.0,T
NatGeo Challenge! Wild Life,X360,2010.0,Misc,Black Bean Games,0.0,0.02,0.0,0.0,0.03,,,,,
Archer Maclean Presents: Pool Paradise,GC,2004.0,Sports,Ignition Entertainment,0.02,0.01,0.0,0.0,0.03,,,,,
Sengoku Efuda Yuugi: Hototogisu Tairan,PSP,2010.0,Strategy,Irem Software Engineering,0.0,0.0,0.03,0.0,0.03,,,,,
Battlezone,PSP,2006.0,Shooter,Atari,0.02,0.0,0.0,0.0,0.03,57.0,13.0,tbd,,E10
Ookiku Furikabutte: Honto no Ace ni Nareru kamo,DS,2007.0,Sports,Marvelous Interactive,0.0,0.0,0.03,0.0,0.03,,,,,
Medal of Honor: Vanguard,PS2,2007.0,Shooter,Electronic Arts,0.0,0.0,0.03,0.0,0.03,63.0,29.0,6.1,34.0,Sixteen
Touch Shot! Love Application,PS3,2012.0,Adventure,Compile Heart,0.0,0.0,0.03,0.0,0.03,,,,,CERO_D
Nanotek Warrior,PS,1997.0,Shooter,Virgin Interactive,0.01,0.01,0.0,0.0,0.03,,,,,E
Galileo,DS,2008.0,Adventure,D3Publisher,0.0,0.0,0.03,0.0,0.03,,,,,CERO_B
God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,PS4,2015.0,Misc,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,
Cake Mania: Baker's Challenge,PS2,2008.0,Puzzle,Destineer,0.01,0.01,0.0,0.0,0.03,,,tbd,,
Super Monkey Ball Adventure,PS2,2006.0,Platform,Sega,0.01,0.01,0.0,0.0,0.03,53.0,32.0,6.7,10.0,E
Captain Tsubasa J: The Way to World Youth,SNES,1995.0,Sports,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,
Madden NFL 07,GBA,2006.0,Sports,Electronic Arts,0.02,0.01,0.0,0.0,0.03,68.0,4.0,9.3,4.0,
One Piece: Daikaizoku Coliseum,3DS,2016.0,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,,,,,
Renegade Racers,PS,1999.0,Racing,Interplay,0.01,0.01,0.0,0.0,0.03,,,,,E
The Legend of Korra (3DS),3DS,2014.0,Strategy,Activision,0.02,0.0,0.0,0.0,0.03,,,,,
MySims,PC,2008.0,Simulation,Electronic Arts,0.0,0.02,0.0,0.0,0.03,70.0,12.0,6.4,8.0,E
The Sims 2: Bon Voyage,PC,2007.0,Simulation,Electronic Arts,0.01,0.01,0.0,0.0,0.03,74.0,9.0,7.3,24.0,T
AniMates!,DS,2007.0,Simulation,Lexicon Entertainment,0.02,0.0,0.0,0.0,0.03,33.0,4.0,2.5,4.0,E
Franklin the Turtle,GBA,2005.0,Misc,Game Factory,0.02,0.01,0.0,0.0,0.03,,,,,EC
Senran Kagura: Bon Appétit!,PSV,2014.0,Misc,Marvelous Entertainment,0.0,0.0,0.03,0.0,0.03,,,,,
Star Wars The Clone Wars: Republic Heroes,PC,2009.0,Action,LucasArts,0.0,0.02,0.0,0.0,0.03,46.0,9.0,4.7,46.0,T
The Peanuts Movie: Snoopy's Grand Adventure,PS4,2015.0,Action,Activision,0.0,0.02,0.0,0.0,0.03,59.0,4.0,6.6,19.0,Three
My Ballet Studio,Wii,2009.0,Simulation,505 Games,0.02,0.0,0.0,0.0,0.03,,,tbd,,E
Backyard NFL Football,Wii,2007.0,Sports,Atari,0.02,0.0,0.0,0.0,0.03,,,,,
Aegis of Earth: Protonovus Assault,PS4,2016.0,Action,PQube,0.02,0.0,0.0,0.0,0.03,57.0,11.0,7.8,9.0,
Gauntlet / Rampart,GBA,2005.0,Misc,Zoo Digital Publishing,0.02,0.01,0.0,0.0,0.03,,,tbd,,E
Bully: Scholarship Edition,PC,2008.0,Action,Take-Two Interactive,0.0,0.02,0.0,0.0,0.03,72.0,11.0,7.5,257.0,Sixteen
River King: Wonderful Journey,PS2,2005.0,Sports,505 Games,0.01,0.01,0.0,0.0,0.03,,,,,E
Sengoku Otome: Legend Battle,PSV,2016.0,Action,Unknown,0.0,0.0,0.03,0.0,0.03,,,,,
RollerCoaster Tycoon 2: Triple Thrill Pack,PC,2003.0,Strategy,Atari,0.0,0.02,0.0,0.0,0.03,,,3.2,26.0,
Justice League Heroes: The Flash,GBA,2006.0,Action,Eidos Interactive,0.02,0.01,0.0,0.0,0.03,72.0,8.0,7.4,7.0,E10
Pop Cutie! Street Fashion Simulation (JP sales),DS,2008.0,Simulation,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,,,,,
Harvest Moon: Skytree Village,3DS,2016.0,Simulation,Natsume,0.02,0.0,0.0,0.0,0.03,,,7.4,7.0,Three
Age of Empires III: Gold Edition,PC,2007.0,Strategy,Microsoft Game Studios,0.0,0.02,0.0,0.0,0.03,,,7.8,6.0,T
Bae Yong-joon to Manabu Kankokugo DS,DS,2009.0,Misc,D3Publisher,0.0,0.0,0.03,0.0,0.03,,,,,
World War II Combat: Road To Berlin,XB,2006.0,Shooter,Groove Games,0.02,0.01,0.0,0.0,0.03,,,1.2,5.0,M
Metal Saga,PS2,2005.0,Role-Playing,Success,0.01,0.01,0.0,0.0,0.03,62.0,26.0,7.3,9.0,T
Divinity II: Flames of Vengeance,PC,2010.0,Role-Playing,DTP Entertainment,0.0,0.02,0.0,0.01,0.03,72.0,4.0,8.3,15.0,M
CID The Dummy,Wii,2009.0,Platform,Oxygen Interactive,0.02,0.0,0.0,0.0,0.03,31.0,7.0,tbd,,E10
Battlefield 2142,PC,2006.0,Shooter,Electronic Arts,0.0,0.02,0.0,0.0,0.03,80.0,48.0,6.8,326.0,Sixteen
Imagine: Sweet 16,DS,2010.0,Simulation,Ubisoft,0.02,0.0,0.0,0.0,0.03,,,tbd,,E
Last Escort 2: Shinya no Amai Toge,PS2,2008.0,Adventure,D3Publisher,0.0,0.0,0.03,0.0,0.03,,,,,
Pop'n Music 13 Carnival,PS2,2006.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,,,,,
Air Conflicts: Secret Wars,PC,2011.0,Simulation,bitComposer Games,0.0,0.02,0.0,0.01,0.03,65.0,5.0,6.4,24.0,Twelve
Bookworm,GBA,2004.0,Puzzle,Unknown,0.02,0.01,0.0,0.0,0.03,62.0,5.0,,,
Monster Mayhem: Build and Battle,Wii,2009.0,Simulation,Zushi Games,0.02,0.0,0.0,0.0,0.03,,,tbd,,E10
Tokushu Houdoubu,PSV,2012.0,Adventure,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,,,,,
