Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Gray Matter,X360,2011.0,Adventure,DTP Entertainment,0.0,0.04,0.0,0.0,0.04,,,,,Wizarbox,T
Riding Stables: The Whitakers present Milton and Friends,3DS,2011.0,Sports,DTP Entertainment,0.0,0.04,0.0,0.0,0.04,,,,,,
Paws & Claws: Regal Resort,DS,2010.0,Simulation,THQ,0.04,0.0,0.0,0.0,0.04,,,,,,
Novastorm,PS,1995.0,Shooter,Psygnosis,0.02,0.02,0.0,0.0,0.04,,,,,Psygnosis,E
Shiren the Wanderer 4 - God's Eye and the Demon's Navel,PSP,2012.0,Role-Playing,Spike,0.0,0.0,0.04,0.0,0.04,,,,,,
Dead Ball Zone,PS,1998.0,Sports,GT Interactive,0.02,0.02,0.0,0.0,0.04,,,,,,T
NBA in the Zone 2000,N64,2000.0,Sports,Konami Digital Entertainment,0.04,0.0,0.0,0.0,0.04,,,,,,
Winning Post World 2010,PS3,2010.0,Sports,Tecmo Koei,0.0,0.0,0.04,0.0,0.04,,,,,,CERO_A
NBA In The Zone '99,N64,1998.0,Sports,Konami Digital Entertainment,0.04,0.0,0.0,0.0,0.04,,,,,,
Do-Konjou Shougakussei: Bon Bita - Hadaka no Choujou Ketsusen!! Bita vs. Dokuro Dei!,DS,2010.0,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,,,,,,
World Series Baseball,SAT,1994.0,Sports,Sega,0.0,0.0,0.04,0.0,0.04,,,,,,
Haunted Casino,SAT,1996.0,Adventure,Societa,0.0,0.0,0.04,0.0,0.04,,,,,,
Ou to Maou to 7-nin no Himegimitachi: Shin Ousama Monogatari,PSV,2012.0,Action,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04,,,,,Marvelous AQL,Twelve
MLB 2K12 / NBA 2K12 Combo Pack,X360,2012.0,Sports,Take-Two Interactive,0.04,0.0,0.0,0.0,0.04,,,,,,
S.Y.K Renshouden Portable,PSP,2011.0,Adventure,Idea Factory,0.0,0.0,0.04,0.0,0.04,,,,,Otomate,CERO_B
Metal Max Returns,SNES,1995.0,Role-Playing,Data East,0.0,0.0,0.04,0.0,0.04,,,,,,
Hanaoni: Yume no Tsudzuki,PSP,2012.0,Action,Idea Factory,0.0,0.0,0.04,0.0,0.04,,,,,Otomate,CERO_C
Dolly Kanon Dokidoki Tokimeki Himitsu no Ongaku Katsudou Start Desu!!,3DS,2014.0,Adventure,Happinet,0.0,0.0,0.04,0.0,0.04,,,,,,
Gal*Gun,X360,2011.0,Shooter,Alchemist,0.0,0.0,0.04,0.0,0.04,,,,,Inti Creates,GRAC_Eighteen
Black & White,PC,2001.0,Strategy,Electronic Arts,0.0,0.04,0.0,0.0,0.04,,,,,Feral Interactive,T
Ookami Kakushi,PSP,2009.0,Action,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04,,,,,Konami,CERO_C
 Haikyu!! Cross Team Match!,3DS,2016.0,Adventure,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,,,,,Bandai Namco Games,CERO_A
Gormiti: The Lords of Nature!,Wii,2010.0,Adventure,Konami Digital Entertainment,0.03,0.0,0.0,0.0,0.04,,,,,,Twelve
North American Hunting Extravaganza 2,Wii,2010.0,Sports,Unknown,0.03,0.0,0.0,0.0,0.04,,,,,,T
Zen-Nippon GT Senshuken,SNES,1995.0,Racing,Banpresto,0.0,0.0,0.04,0.0,0.04,,,,,,
Monaco Grand Prix,N64,1999.0,Racing,Ubisoft,0.03,0.01,0.0,0.0,0.04,,,,,Ubisoft Paris,E
Worms Armageddon,N64,1999.0,Strategy,Infogrames,0.03,0.01,0.0,0.0,0.04,,,,,Infogrames,E
Rally Challenge 2000,N64,1999.0,Racing,Imagineer,0.03,0.01,0.0,0.0,0.04,,,,,Genki,E
Looney Tunes Duck Dodgers Starring: Daffy Duck,N64,2000.0,Platform,Infogrames,0.03,0.01,0.0,0.0,0.04,,,,,,
PD Ultraman Battle Collection 64,N64,1999.0,Strategy,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,,,,,,
Deadly Arts,N64,1998.0,Fighting,Konami Digital Entertainment,0.03,0.01,0.0,0.0,0.04,,,,,Konami,T
Sengoku Musou 3 Z Special,PSP,2012.0,Action,Ackkstudios,0.0,0.0,0.04,0.0,0.04,,,,,Koei Tecmo,CERO_B
Kikou Heidan J-Phoenix 2,PS2,2003.0,Action,Takara,0.0,0.0,0.04,0.0,0.04,,,,,,
Dragon's Lair 3D: Return to the Lair,GC,2002.0,Platform,THQ,0.03,0.01,0.0,0.0,0.04,,,,,Dragonstone Software,T
Harukanaru Toki no Naka de 5,PSP,2011.0,Role-Playing,Tecmo Koei,0.0,0.0,0.04,0.0,0.04,,,,,Ruby Party,CERO_B
Winning Post 7 2012,PSP,2012.0,Sports,Ackkstudios,0.0,0.0,0.04,0.0,0.04,,,,,Koei Tecmo Games,CERO_A
Point Blank 2,PS,1998.0,Shooter,Namco Bandai Games,0.02,0.02,0.0,0.0,0.04,,,,,Namco Limited,T
Saru! Get You! Pipo Saru Senki,PSP,2009.0,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.04,0.0,0.04,,,,,,
J.League Pro Soccer Club o Tsukurou! 8 Euro Plus,PSP,2013.0,Sports,Sega,0.0,0.0,0.04,0.0,0.04,,,,,,
Imabikisou,PS3,2007.0,Adventure,Sega,0.0,0.0,0.04,0.0,0.04,,,,,Sega,CERO_C
Hakuouki: Reimeiroku Portable,PSP,2011.0,Adventure,Idea Factory,0.0,0.0,0.04,0.0,0.04,,,,,Otomate,CERO_C
Sega Ages 2500 Series Vol. 33: Fantasy Zone Complete Collection,PS2,2008.0,Shooter,Sega,0.0,0.0,0.04,0.0,0.04,,,,,3D Ages,CERO_A
Motto TOEIC Test DS Training,DS,2008.0,Misc,IE Institute,0.0,0.0,0.04,0.0,0.04,,,,,,
Super Robot Gakuen,DS,2009.0,Adventure,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,,,,,,
Atelier Iris 3: Grand Phantasm (JP Sales),PS2,2006.0,Role-Playing,Tecmo Koei,0.0,0.0,0.04,0.0,0.04,,,,,,
Ape Escape,PS3,2010.0,Platform,Sony Computer Entertainment,0.0,0.03,0.0,0.01,0.04,,,,,Sony Computer Entertainment,E10
Jojo's Fashion Show: Design in a Dash!,DS,2009.0,Simulation,Ubisoft,0.04,0.0,0.0,0.0,0.04,,,,,,
The Legend of Heroes: Trails in the Sky First Chapter,PS3,2012.0,Role-Playing,Falcom Corporation,0.0,0.0,0.04,0.0,0.04,,,,,,
Go Diego Go!: Safari Rescue,PS2,2008.0,Action,Take-Two Interactive,0.02,0.02,0.0,0.01,0.04,,,,,,
System 3 presents Ferrari Challenge Trofeo Pirelli,DS,2008.0,Racing,System 3 Arcade Software,0.03,0.0,0.0,0.0,0.04,,,,,,
Clannad,PS2,2006.0,Adventure,Interchannel,0.0,0.0,0.04,0.0,0.04,,,,,Key,T
Katekyoo Hitman Reborn! Battle Arena 2 - Spirits Burst,PSP,2009.0,Fighting,Marvelous Interactive,0.0,0.0,0.04,0.0,0.04,,,,,,
