Index,Developer,Video_Game_Name
0,Activision,X-Men: Destiny
1,Silicon Knights,X-Men: Destiny
2,Konami,Pro Evolution Soccer 2014
3,Capcom,We Love Golf!
4,Camelot Software Planning,We Love Golf!
5,Rovio Entertainment,Angry Birds
6,EA Sports,Tiger Woods PGA Tour 10
7,EA Orlando,Tiger Woods PGA Tour 10
8,EA Mobile,Tiger Woods PGA Tour 10
9,HB Studios,Tiger Woods PGA Tour 10
10,THQ,Dood's Big Adventure
11,Rainbow Studios,Dood's Big Adventure
12,Surge,Afro Samurai
13,Namco Bandai Games,Afro Samurai
14,NIS America,Ar tonelico Qoga: Knell of Ar Ciel
15,Bandai Namco Entertainment,Ar tonelico Qoga: Knell of Ar Ciel
16,Banpresto,Ar tonelico Qoga: Knell of Ar Ciel
17,Gust,Ar tonelico Qoga: Knell of Ar Ciel
18,EA Sports,NASCAR 08
19,EA Orlando,NASCAR 08
20,Exient Entertainment,NASCAR 08
21,Revolution Software,Broken Sword: Shadow of the Templars - The Director's Cut
22,Kalypso Media,Broken Sword: Shadow of the Templars - The Director's Cut
23,DTP Entertainment,Divinity II: Ego Draconis
24,Larian Studios,Divinity II: Ego Draconis
25,Snowball Studios,Divinity II: Ego Draconis
26,1C-SoftClub,Divinity II: Ego Draconis
27,cdv Software Entertainment,Divinity II: Ego Draconis
28,ak tronic,Divinity II: Ego Draconis
29,Konami,Birds of Steel
30,Gaijin Entertainment,Birds of Steel
31,WB Games,DC Universe Online
32,Daybreak Game Company,DC Universe Online
33,Sony Online Entertainment,DC Universe Online
34,Activision,Bakugan: Battle Brawlers
35,NOW Production,Bakugan: Battle Brawlers
36,Tomy,Naruto: Path of the Ninja 2
37,"D3Publisher of America, Inc.",Naruto: Path of the Ninja 2
38,Tose,Naruto: Path of the Ninja 2
39,Harmonix Music Systems,Karaoke Revolution Volume 2
40,BAM! Entertainment,Wallace & Gromit in Project Zoo
41,Frontier Developments,Wallace & Gromit in Project Zoo
42,Ubisoft Québec,Prince of Persia: The Forgotten Sands
43,Disney Interactive Studios,Disney's A Christmas Carol
44,Sumo Digital,Disney's A Christmas Carol
45,BEC,Mobile Suit Gundam: Climax U.C.
46,Bandai,Mobile Suit Gundam: Climax U.C.
47,Banpresto,Super Robot Taisen D
48,EA Orlando,NBA Live 15
49,EA Sports,NBA Live 15
50,EA Sports,NASCAR Thunder 2004
51,EA Orlando,NASCAR Thunder 2004
52,Image Space Incorporated,NASCAR Thunder 2004
53,Budcat Creations,NASCAR Thunder 2004
54,Fox Interactive,Buffy the Vampire Slayer
55,The Collective,Buffy the Vampire Slayer
56,Tantalus Media,MX vs. ATV Reflex
57,THQ,MX vs. ATV Reflex
58,Electronic Arts,Harry Potter and the Goblet of Fire
59,Imageepoch,Sands of Destruction
60,Sega,Sands of Destruction
61,Magic Pockets,Harry Potter and the Goblet of Fire
62,Electronic Arts,Harry Potter and the Goblet of Fire
63,Microsoft Game Studios,Viva Pinata: Party Animals
64,Krome Studios,Viva Pinata: Party Animals
65,Activision Value,Cabela's Big Game Hunter 2012
66,Cauldron HQ,Cabela's Big Game Hunter 2012
67,Visual Concepts,World Series Baseball
68,Sega,World Series Baseball
69,Blue Shift Inc,World Series Baseball
70,Exile Interactive,World Series Baseball
71,Monster Games,Test Drive: Eve of Destruction
72,"Atari, Inc.",Test Drive: Eve of Destruction
73,Empire Interactive,Starsky & Hutch
74,Mind's Eye,Starsky & Hutch
75,Koei Tecmo Games,Dynasty Warriors: Gundam Reborn
76,Koei,Dynasty Warriors: Gundam Reborn
77,Namco Bandai Games,Dynasty Warriors: Gundam Reborn
