Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Vegas Party,Wii,,Misc,Unknown,0.15,0.0,0.0,0.01,0.16,33.0,6.0,tbd,,Storm City Games,T
Jurassic Park: The Game,X360,,Action,Unknown,0.15,0.0,0.0,0.01,0.16,60.0,9.0,3.6,138.0,Telltale Games,T
Home Run,2600,,Sports,Atari,0.14,0.01,0.0,0.0,0.15,,,,,,
eJay Clubworld,PS2,,Misc,Empire Interactive,0.07,0.06,0.0,0.02,0.15,69.0,5.0,8.6,10.0,UDS,E
Our House Party!,Wii,,Simulation,Unknown,0.13,0.0,0.0,0.01,0.14,,,,,,
WCW Backstage Assault,N64,,Action,Unknown,0.11,0.03,0.0,0.0,0.14,,,,,,
Disney's Cinderella: Magical Dreams,GBA,,Platform,Disney Interactive Studios,0.1,0.04,0.0,0.0,0.14,69.0,7.0,tbd,,Culture Brain,E
Transworld Surf,XB,,Sports,Atari,0.1,0.03,0.0,0.0,0.13,76.0,25.0,tbd,,Rockstar San Diego,T
Street Fighter IV,PC,,Fighting,Capcom,0.07,0.05,0.0,0.02,0.13,91.0,23.0,8,352.0,Capcom,T
Nintendo Puzzle Collection,GC,,Puzzle,Unknown,0.0,0.0,0.13,0.0,0.13,,,,,,
Charm Girls Club: My Fashion Mall,DS,,Simulation,Unknown,0.12,0.0,0.0,0.01,0.12,,,tbd,,Electronic Arts,E
Record of Agarest War Zero,PS3,,Strategy,Ghostlight,0.09,0.0,0.03,0.01,0.12,50.0,8.0,6.7,37.0,Compile Heart,T
Rocksmith,PC,,Misc,Unknown,0.06,0.04,0.0,0.01,0.12,78.0,5.0,8.1,57.0,Ubisoft,T
Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,PSP,,Strategy,,0.0,0.0,0.12,0.0,0.12,,,,,,
Saru! Get You! Million Monkeys,PS2,,Platform,Unknown,0.0,0.0,0.12,0.0,0.12,,,,,,
