,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
0,NES,1985.0,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,,,,,Playtronic,E
1,GB,1996.0,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,,,,,,
2,GB,1989.0,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,,,,,Nintendo,E
3,NES,1984.0,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,,,,,,
4,DS,2005.0,Simulation,Nintendo,9.05,10.95,1.93,2.74,24.67,,,,,Nintendo,E
5,GB,1999.0,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,,,,,,
6,SNES,1990.0,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,,,,,,
7,DS,2006.0,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.25,,,,,,
8,GB,1989.0,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,,,,,Nintendo R&D1,E
9,NES,1988.0,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,,,,,,
10,GBA,2002.0,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,,,,,,
11,DS,2010.0,Role-Playing,Nintendo,5.51,3.17,5.65,0.8,15.14,,,,,,
12,GB,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,,,,,Nintendo,E
13,PS4,2015.0,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,,,,,Activision,Eighteen
14,3DS,2013.0,Role-Playing,Nintendo,5.28,4.19,4.35,0.78,14.6,,,,,,
15,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,,,,,Nintendo,E
16,DS,2009.0,Action,Nintendo,4.34,2.71,3.96,0.76,11.77,,,,,,
17,3DS,2014.0,Role-Playing,Nintendo,4.35,3.49,3.1,0.74,11.68,,,,,,
18,GB,1992.0,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,,,,,Nintendo R&D1,E
19,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,,,,,Nintendo EAD,E
20,GBA,2004.0,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,,,,,,
21,DS,2004.0,Platform,Nintendo,5.01,3.07,1.25,0.97,10.3,,,,,Nintendo EAD,E
22,N64,1996.0,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,,,,,Nintendo,E
23,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,,,,,Rare,E
24,X360,2013.0,Misc,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,,,,,4J Studios,
25,SNES,1992.0,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,,,,,Nintendo,E
26,N64,1997.0,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,,,,,Nintendo,T
27,DS,2012.0,Role-Playing,Nintendo,2.79,1.72,3.14,0.41,8.07,,,,,,
28,Wii,2007.0,Sports,Sega,2.57,3.86,0.66,0.91,7.99,,,,,Sega,Three
29,PS4,2015.0,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,,,,,,
30,2600,1982.0,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,,,,,Polyvox,E
31,N64,1998.0,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,,,,,Nintendo EAD,Twelve
32,PS,1997.0,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,,,,,Universal Interactive Studios,E
33,3DS,2014.0,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55,,,,,,
34,NES,1988.0,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,,,,,Nintendo,E
35,XOne,2015.0,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,,,,,Activision,Eighteen
36,3DS,2016.0,Role-Playing,Nintendo,2.98,1.45,2.26,0.45,7.14,,,,,,
37,GC,2003.0,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,,,,,Nintendo EAD,Three
38,PS,1996.0,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,,,,,Naughty Dog,E
39,PS3,2011.0,Sports,Electronic Arts,0.84,4.3,0.11,1.39,6.65,,,,,EA Canada,E
40,NES,1986.0,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,,,,,,
41,GB,2000.0,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,,,,,,
42,SNES,1992.0,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,,,,,Capcom,T
43,GEN,1992.0,Platform,Sega,4.47,1.2,0.16,0.19,6.03,,,,,Sonic Team,E
44,NES,1988.0,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,,,,,Nintendo,
45,N64,1999.0,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,,,,,Nintendo,Seven
46,GBA,2001.0,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,,,,,Gradiente,E
47,N64,1999.0,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,,,,,HAL Laboratory,E
48,GB,1989.0,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,,,,,,
49,GB,1999.0,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,,,,,,
50,N64,1999.0,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,,,,,Nintendo,E
51,PS3,2014.0,Misc,Sony Computer Entertainment,2.03,2.37,0.0,0.87,5.26,,,,,4J Studios,
52,3DS,2013.0,Simulation,Nintendo,0.97,2.11,1.9,0.24,5.23,,,,,Nintendo SPD Production Group No. 1,CLASS_IND_L
53,GBA,2003.0,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,,,,,Nintendo R&D2,E
54,GB,1994.0,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,,,,,Nintendo,E
55,SNES,1995.0,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,,,,,Rare,Three
56,GB,1992.0,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,,,,,HAL Laboratory,Three
57,PC,1996.0,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,,,,,Microsoft Corporation,E
58,DS,2008.0,Sports,Sega,1.63,2.45,0.44,0.57,5.09,,,,,Nintendo,E
59,GB,1999.0,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,,,,,,
60,PS,1999.0,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01,,,,,Warzone 2100 Project,T
